family,class_id,n_files,n_months
agent,0,61,6
allaple,1,58,4
ausiv,2,86,4
autoit,3,468,6
autorun,4,553,6
benjamin,5,163,6
berbew,6,400,6
bladabindi,7,336,6
blocker,8,73,6
ceeinject,9,146,6
coinminer,10,50,6
cryptinject,11,111,5
delf,12,228,5
dinwod,13,1124,6
ditertag,14,82,6
dorv,15,103,6
fasong,16,100,6
fuerboos,17,299,6
gandcrab,18,446,6
ganelp,19,274,6
gepys,20,660,6
gupboot,21,69,6
lunam,22,241,6
mira,23,855,6
mocrt,24,66,6
musecador,25,675,6
mydoom,26,52,6
nitol,27,76,6
occamy,28,60,6
padodor,29,428,6
picsys,30,283,6
pluto,31,67,6
pykspa,32,51,5
qqpass,33,222,6
sfone,34,318,6
sillyp2p,35,358,6
small,36,958,6
socks,37,84,6
soltern,38,70,6
stormser,39,175,6
sytro,40,188,6
tescrypt,41,83,5
unruy,42,286,6
upatre,43,1791,6
urelas,44,349,6
vb,45,71,6
vflooder,46,82,6
vobfus,47,103,6
wabot,48,756,6
wacatac,49,3311,6
zbot,50,112,6
