family_clean,unique_files,training_months,eligible
wacatac,3311,6,True
upatre,1791,6,True
dinwod,1124,6,True
small,958,6,True
mira,855,6,True
wabot,756,6,True
musecador,675,6,True
gepys,660,6,True
autorun,553,6,True
autoit,468,6,True
gandcrab,446,6,True
padodor,428,6,True
berbew,400,6,True
sillyp2p,358,6,True
urelas,349,6,True
bladabindi,336,6,True
sfone,318,6,True
fuerboos,299,6,True
unruy,286,6,True
picsys,283,6,True
ganelp,274,6,True
lunam,241,6,True
delf,228,5,True
qqpass,222,6,True
sytro,188,6,True
stormser,175,6,True
benjamin,163,6,True
ceeinject,146,6,True
zbot,112,6,True
cryptinject,111,5,True
dorv,103,6,True
vobfus,103,6,True
fasong,100,6,True
ausiv,86,4,True
socks,84,6,True
tescrypt,83,5,True
ditertag,82,6,True
vflooder,82,6,True
nitol,76,6,True
blocker,73,6,True
vb,71,6,True
soltern,70,6,True
gupboot,69,6,True
pluto,67,6,True
mocrt,66,6,True
agent,61,6,True
occamy,60,6,True
allaple,58,4,True
mydoom,52,6,True
pykspa,51,5,True
coinminer,50,6,True
skeeyah,49,6,False
skeeeyah,44,5,False
vbclone,43,5,False
mofksys,42,6,False
shifu,42,5,False
simda,41,6,False
qlowzones,41,5,False
botgor,38,5,False
fuery,36,5,False
fareit,35,5,False
fearso,35,5,False
tiggre,35,5,False
sivis,34,3,False
plite,33,6,False
drolnux,32,6,False
duptwux,32,6,False
injector,32,6,False
grandcrab,31,6,False
stration,31,6,False
pwszbot,27,5,False
juched,26,6,False
banload,26,5,False
dofoil,26,5,False
vilsel,26,4,False
chir,24,3,False
ipamor,24,2,False
cambot,23,5,False
obfuscator,22,6,False
sillyfdc,21,5,False
trickster,21,3,False
omaneat,21,2,False
salgorea,20,4,False
ainslot,19,4,False
ircbot,19,4,False
koceg,19,4,False
tinba,19,3,False
cryptominer,18,5,False
emotet,18,5,False
smokeloader,18,4,False
glupteba,17,5,False
yunsip,17,1,False
ursnif,16,6,False
aenjaris,16,4,False
simbot,16,4,False
vtflooder,16,4,False
moonlight,15,4,False
systro,15,4,False
brontok,14,6,False
gandcrypt,14,5,False
noancooe,14,5,False
plugx,14,4,False
carberp,14,3,False
klez,14,3,False
dynamer,14,2,False
phorpiex,14,2,False
eggnog,13,4,False
malex,13,4,False
tofsee,13,4,False
dapato,12,5,False
fakefolder,12,4,False
neconyd,12,3,False
gamarue,11,4,False
rpcdcom,11,2,False
vigorf,11,2,False
kirts,11,1,False
pterodo,10,5,False
zegost,10,4,False
upantix,10,3,False
kryptik,10,2,False
revetrat,10,2,False
rifdoor,9,5,False
hupigon,9,4,False
autinject,9,3,False
magania,9,3,False
randrew,9,3,False
sakurel,9,3,False
trickbot,9,3,False
dridex,9,2,False
pornoasset,9,2,False
fadok,8,4,False
killfiles,8,4,False
quackbot,8,4,False
systex,8,4,False
bulta,8,3,False
darkkomet,8,3,False
miras,8,3,False
vbinject,7,5,False
netmail,7,4,False
miuref,7,3,False
tiny,7,3,False
xiaobaminer,7,3,False
dxmstrt,7,2,False
invader,7,2,False
virut,7,2,False
daws,6,4,False
laqma,6,4,False
androm,6,3,False
autoitinject,6,3,False
casur,6,3,False
emogen,6,3,False
startpage,6,3,False
vindor,6,3,False
aitinject,6,2,False
provis,6,2,False
bzub,5,4,False
delfiles,5,4,False
bho,5,3,False
cerber,5,3,False
fakeav,5,3,False
lightmoon,5,3,False
meterpreter,5,3,False
unwaders,5,3,False
kanav,5,2,False
klone,5,2,False
lmir,5,2,False
muldrop,5,2,False
netwire,5,2,False
oberal,5,2,False
pkeylog,5,2,False
ren,5,2,False
gi0704e5,5,1,False
dustylog,4,4,False
bancteian,4,3,False
delphi,4,3,False
flystudio,4,3,False
msposer,4,3,False
protux,4,3,False
starter,4,3,False
wanna,4,3,False
win32,4,3,False
emdup,4,2,False
gbot,4,2,False
gigex,4,2,False
krap,4,2,False
kuluoz,4,2,False
lolbot,4,2,False
nanocore,4,2,False
onlinegames,4,2,False
pistolar,4,2,False
shaosmine,4,2,False
agentdoc,4,1,False
blihan,4,1,False
nivdort,4,1,False
yoof,4,1,False
coinstealer,3,3,False
cuegoe,3,3,False
hpgandcrab,3,3,False
rebhip,3,3,False
xolxo,3,3,False
Unknown,3,2,False
bicone,3,2,False
downloader,3,2,False
farfli,3,2,False
fipeg,3,2,False
icedid,3,2,False
rescoms,3,2,False
ulise,3,2,False
gc280075,3,1,False
kimad,3,1,False
moarider,3,1,False
obvod,3,1,False
qakbot,3,1,False
trickybot,3,1,False
viking,3,1,False
xtrat,3,1,False
agensla,2,2,False
bitstealer,2,2,False
black,2,2,False
bq,2,2,False
cinkel,2,2,False
cosmu,2,2,False
creprote,2,2,False
dacic,2,2,False
eqtonex,2,2,False
facido,2,2,False
flyagent,2,2,False
imestartup,2,2,False
ming,2,2,False
miniduke,2,2,False
nymaim,2,2,False
pariham,2,2,False
phishbank,2,2,False
ppatre,2,2,False
rbot,2,2,False
sisbot,2,2,False
svhoder,2,2,False
tinyloader,2,2,False
trojan,2,2,False
turkojan,2,2,False
wannacrypt,2,2,False
worm,2,2,False
yoddos,2,2,False
autog,2,1,False
banker,2,1,False
blackfus,2,1,False
blamon,2,1,False
capsfin,2,1,False
cheval,2,1,False
cryptodef,2,1,False
dalexis,2,1,False
emelent,2,1,False
fareitvb,2,1,False
fujacks,2,1,False
fukru,2,1,False
fynloski,2,1,False
launcher,2,1,False
pakes,2,1,False
puwaders,2,1,False
quasarrat,2,1,False
qukart,2,1,False
shampel,2,1,False
unknown,2,1,False
warezov,2,1,False
3636hl13,1,1,False
agen,1,1,False
agentst,1,1,False
agenttesla,1,1,False
agentwdcr,1,1,False
alureon,1,1,False
androme,1,1,False
andromeda,1,1,False
aproposmedia,1,1,False
asacky,1,1,False
atraps,1,1,False
autoitshellinj,1,1,False
azorult,1,1,False
baff,1,1,False
baffec,1,1,False
bagsu,1,1,False
banbra,1,1,False
bankerx,1,1,False
bayrob,1,1,False
bedep,1,1,False
bitrep,1,1,False
bluteal,1,1,False
bobax,1,1,False
browserpassview,1,1,False
bundpil,1,1,False
cabren,1,1,False
cardspy,1,1,False
cenjonsla,1,1,False
citeary,1,1,False
cleaman,1,1,False
clipbanker,1,1,False
coinbitminer,1,1,False
comisproc,1,1,False
crysan,1,1,False
cve-2017-0147,1,1,False
debris,1,1,False
delfinject,1,1,False
dibizor,1,1,False
discord,1,1,False
dotdo,1,1,False
dyzap,1,1,False
elenoocka,1,1,False
emptybuilder,1,1,False
explorerhijack,1,1,False
eyestye,1,1,False
floxif,1,1,False
gamehack,1,1,False
gaobot,1,1,False
gate,1,1,False
gc13003b,1,1,False
