family,n_files,n_months,eligible_provisional
wacatac,3311,6,True
upatre,1791,6,True
dinwod,1124,6,True
small,958,6,True
mira,855,6,True
wabot,756,6,True
musecador,675,6,True
gepys,660,6,True
autorun,553,6,True
autoit,468,6,True
gandcrab,446,6,True
padodor,428,6,True
berbew,400,6,True
sillyp2p,358,6,True
urelas,349,6,True
bladabindi,336,6,True
sfone,318,6,True
fuerboos,299,6,True
unruy,286,6,True
picsys,283,6,True
ganelp,274,6,True
lunam,241,6,True
delf,228,5,True
qqpass,222,6,True
sytro,188,6,True
stormser,175,6,True
benjamin,163,6,True
ceeinject,146,6,True
zbot,112,6,True
cryptinject,111,5,True
vobfus,103,6,True
dorv,103,6,True
fasong,100,6,True
ausiv,86,4,True
socks,84,6,True
tescrypt,83,5,True
vflooder,82,6,True
ditertag,82,6,True
nitol,76,6,True
blocker,73,6,True
vb,71,6,True
soltern,70,6,True
gupboot,69,6,True
pluto,67,6,True
mocrt,66,6,True
agent,61,6,True
occamy,60,6,True
allaple,58,4,True
mydoom,52,6,True
pykspa,51,5,True
coinminer,50,6,True
skeeyah,49,6,False
skeeeyah,44,5,False
vbclone,43,5,False
shifu,42,5,False
mofksys,42,6,False
simda,41,6,False
qlowzones,41,5,False
botgor,38,5,False
fuery,36,5,False
fareit,35,5,False
tiggre,35,5,False
fearso,35,5,False
sivis,34,3,False
plite,33,6,False
injector,32,6,False
duptwux,32,6,False
drolnux,32,6,False
grandcrab,31,6,False
stration,31,6,False
pwszbot,27,5,False
vilsel,26,4,False
juched,26,6,False
banload,26,5,False
dofoil,26,5,False
ipamor,24,2,False
chir,24,3,False
cambot,23,5,False
obfuscator,22,6,False
trickster,21,3,False
sillyfdc,21,5,False
omaneat,21,2,False
salgorea,20,4,False
tinba,19,3,False
ircbot,19,4,False
ainslot,19,4,False
koceg,19,4,False
smokeloader,18,4,False
emotet,18,5,False
cryptominer,18,5,False
glupteba,17,5,False
yunsip,17,1,False
ursnif,16,6,False
simbot,16,4,False
vtflooder,16,4,False
aenjaris,16,4,False
systro,15,4,False
moonlight,15,4,False
dynamer,14,2,False
gandcrypt,14,5,False
klez,14,3,False
phorpiex,14,2,False
noancooe,14,5,False
brontok,14,6,False
plugx,14,4,False
carberp,14,3,False
eggnog,13,4,False
malex,13,4,False
tofsee,13,4,False
fakefolder,12,4,False
dapato,12,5,False
neconyd,12,3,False
kirts,11,1,False
vigorf,11,2,False
rpcdcom,11,2,False
gamarue,11,4,False
pterodo,10,5,False
revetrat,10,2,False
kryptik,10,2,False
zegost,10,4,False
upantix,10,3,False
sakurel,9,3,False
dridex,9,2,False
trickbot,9,3,False
autinject,9,3,False
hupigon,9,4,False
pornoasset,9,2,False
rifdoor,9,5,False
randrew,9,3,False
magania,9,3,False
systex,8,4,False
darkkomet,8,3,False
quackbot,8,4,False
killfiles,8,4,False
fadok,8,4,False
bulta,8,3,False
miras,8,3,False
xiaobaminer,7,3,False
dxmstrt,7,2,False
tiny,7,3,False
virut,7,2,False
vbinject,7,5,False
miuref,7,3,False
invader,7,2,False
netmail,7,4,False
casur,6,3,False
autoitinject,6,3,False
aitinject,6,2,False
androm,6,3,False
laqma,6,4,False
vindor,6,3,False
startpage,6,3,False
emogen,6,3,False
daws,6,4,False
provis,6,2,False
unwaders,5,3,False
bho,5,3,False
bzub,5,4,False
fakeav,5,3,False
cerber,5,3,False
muldrop,5,2,False
lmir,5,2,False
lightmoon,5,3,False
klone,5,2,False
delfiles,5,4,False
oberal,5,2,False
ren,5,2,False
gi0704e5,5,1,False
netwire,5,2,False
kanav,5,2,False
meterpreter,5,3,False
pkeylog,5,2,False
starter,4,3,False
blihan,4,1,False
flystudio,4,3,False
win32,4,3,False
emdup,4,2,False
dustylog,4,4,False
yoof,4,1,False
shaosmine,4,2,False
nivdort,4,1,False
onlinegames,4,2,False
pistolar,4,2,False
delphi,4,3,False
gigex,4,2,False
gbot,4,2,False
protux,4,3,False
nanocore,4,2,False
msposer,4,3,False
lolbot,4,2,False
kuluoz,4,2,False
agentdoc,4,1,False
krap,4,2,False
bancteian,4,3,False
wanna,4,3,False
obvod,3,1,False
hpgandcrab,3,3,False
moarider,3,1,False
coinstealer,3,3,False
kimad,3,1,False
icedid,3,2,False
viking,3,1,False
cuegoe,3,3,False
xolxo,3,3,False
trickybot,3,1,False
bicone,3,2,False
fipeg,3,2,False
xtrat,3,1,False
Unknown,3,2,False
downloader,3,2,False
ulise,3,2,False
rescoms,3,2,False
rebhip,3,3,False
farfli,3,2,False
gc280075,3,1,False
qakbot,3,1,False
cryptodef,2,1,False
creprote,2,2,False
flyagent,2,2,False
turkojan,2,2,False
trojan,2,2,False
cheval,2,1,False
banker,2,1,False
ming,2,2,False
launcher,2,1,False
cosmu,2,2,False
nymaim,2,2,False
imestartup,2,2,False
miniduke,2,2,False
cinkel,2,2,False
fukru,2,1,False
fynloski,2,1,False
shampel,2,1,False
blackfus,2,1,False
black,2,2,False
dalexis,2,1,False
pakes,2,1,False
fujacks,2,1,False
puwaders,2,1,False
qukart,2,1,False
rbot,2,2,False
quasarrat,2,1,False
ppatre,2,2,False
dacic,2,2,False
facido,2,2,False
tinyloader,2,2,False
fareitvb,2,1,False
svhoder,2,2,False
sisbot,2,2,False
capsfin,2,1,False
bq,2,2,False
phishbank,2,2,False
pariham,2,2,False
warezov,2,1,False
worm,2,2,False
yoddos,2,2,False
agensla,2,2,False
unknown,2,1,False
autog,2,1,False
eqtonex,2,2,False
emelent,2,1,False
bitstealer,2,2,False
wannacrypt,2,2,False
blamon,2,1,False
agentwdcr,1,1,False
alureon,1,1,False
androme,1,1,False
netstream,1,1,False
nohad,1,1,False
neshta,1,1,False
citeary,1,1,False
cleaman,1,1,False
clipbanker,1,1,False
coinbitminer,1,1,False
comisproc,1,1,False
imwee,1,1,False
installcore,1,1,False
kaicorn,1,1,False
istartsurf,1,1,False
kazy,1,1,False
keylogger,1,1,False
nanobot,1,1,False
cenjonsla,1,1,False
dibizor,1,1,False
hpgen,1,1,False
hpbladabi,1,1,False
korpode,1,1,False
ldpinch,1,1,False
locky,1,1,False
lore,1,1,False
lamer,1,1,False
lydra,1,1,False
madangel,1,1,False
malagent,1,1,False
maener,1,1,False
mandaph,1,1,False
mansabo,1,1,False
masson,1,1,False
mewsei,1,1,False
vools,1,1,False
vundo,1,1,False
vbkrypt,1,1,False
vbna,1,1,False
vbinder,1,1,False
vawtrak,1,1,False
userstartup,1,1,False
uwasson,1,1,False
banbra,1,1,False
wacapew,1,1,False
verst,1,1,False
virtob,1,1,False
krol,1,1,False
andromeda,1,1,False
aproposmedia,1,1,False
vmprotbad,1,1,False
